QKEY,INTERVIEW_START_W154,INTERVIEW_END_W154,DEVICE_TYPE_W154,SVYMODE_W154,LANG_W154,SAMPSOURCE_W154,FORM_W154,X_GENDER_W154,FEELMOD_a_W154,FEELMOD_b_W154,CLOSEFRI_W154,GENFRIONE_W154,GENFRIMANY_W154,COMMFRI_a_W154,COMMFRI_b_W154,COMMFRI_c_W154,COMMFRI_d_W154,POSITIONW_a_W154,POSITIONW_b_W154,POSITIONW_c_W154,POSITIONW_d_W154,POSITIONM_a_W154,POSITIONM_b_W154,POSITIONM_c_W154,POSITIONM_d_W154,MENONLYWB_W154,WOMENONLYWB_W154,MENONLYSOC_W154,WOMENONLYSOC_W154,EMOSUPPFAM_a_W154,EMOSUPPFAM_b_W154,EMOSUPPFAM_c_W154,EMOSUPPFAM_d_W154,EMOSUPPOTH_a_W154,EMOSUPPOTH_b_W154,EMOSUPPOTH_c_W154,DIFF1_a_W154,DIFF1_b_W154,DIFF1_c_W154,DIFF1_d_W154,DIFF1_e_W154,DIFF2_a_W154,DIFF2_b_W154,DIFF2_c_W154,DIFF2_d_W154,DIFF2_e_W154,MASCSCALE_W154,FEMSCALE_W154,MASCFEM_W154,LEARNMAN_a_W154,LEARNMAN_b_W154,LEARNMAN_c_W154,LEARNMAN_d_W154,LEARNMAN_e_W154,LEARNMAN_f_W154,LEARNMAN_g_W154,LEARNMAN_h_W154,LEARNMAN_i_W154,LEARNWOMAN_a_W154,LEARNWOMAN_b_W154,LEARNWOMAN_c_W154,LEARNWOMAN_d_W154,LEARNWOMAN_e_W154,LEARNWOMAN_f_W154,LEARNWOMAN_g_W154,LEARNWOMAN_h_W154,LEARNWOMAN_i_W154,ROLES1_W154,ROLES2_W154,CHANGE1_a_W154,CHANGE1_b_W154,CHANGE1_c_W154,CHANGE1_d_W154,CHANGE1_e_W154,CHANGE1_f_W154,WHOBETTER_a_W154,WHOBETTER_b_W154,WHOBETTER_c_W154,WHOBETTER_d_W154,WHOBETTER_e_W154,WHOBETTER_f_W154,BOYS_a_W154,BOYS_b_W154,BOYS_c_W154,BOYS_d_W154,GIRLS_a_W154,GIRLS_b_W154,GIRLS_c_W154,GIRLS_d_W154,CHANGEMEN_a_W154,CHANGEMEN_b_W154,CHANGEMEN_c_W154,CHANGEMEN_d_W154,CHANGEMEN_e_W154,CHANGEMEN_f_W154,CHANGEMEN_g_W154,CHANGEWOM_a_W154,CHANGEWOM_b_W154,CHANGEWOM_c_W154,CHANGEWOM_d_W154,CHANGEWOM_e_W154,CHANGEWOM_f_W154,CHANGEWOM_g_W154,DEIAFFECT_a_W154,DEIAFFECT_b_W154,DEIAFFECT_c_W154,DEIAFFECT_d_W154,DEIAFFECT_e_W154,DEIAFFECT_f_W154,DEIAFFECT_g_W154,DEIAFFECT_h_W154,MASCPOSNEG_W154,MASCPOSGOODBAD_W154,MASCNEGGOODBAD_W154,VALUEMEN_a_W154,VALUEMEN_b_W154,VALUEMEN_c_W154,VALUEMEN_d_W154,VALUEMEN_e_W154,VALUEMEN_f_W154,VALUEMEN_g_W154,VALUEMEN_h_W154,MENACCEPT1_a_W154,MENACCEPT1_b_W154,MENACCEPT1_c_W154,MENACCEPT1_d_W154,MENACCEPT1_e_W154,MENACCEPT1_f_W154,MENACCEPT2_a_W154,MENACCEPT2_b_W154,MENACCEPT2_c_W154,MENACCEPT2_d_W154,TRANSGEND2MOD_W154,TRANSGEND11_W154,TRANSGEND12_W154,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W154
1,2024-09-09T02:00:45Z,2024-09-09T02:17:40Z,3,1,9,2,1,,5,2,2,,3,4,5,3,3,2,3,1,1,3,3,1,1,1,1,,,1,2,5,1,1,5,3,1,1,1,1,1,,,,,,2,4,2,1,1,1,2,5,5,4,5,3,,,,,,,,,,3,2,1,1,3,1,1,1,1,3,1,3,1,1,3,3,3,3,,,,,4,3,4,4,3,4,3,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,1,1,,3,3,1,2,3,2,3,2,4,4,5,4,2,2,1,3,4,2,2,1,2,1,1,2,1,3,1,3,2,1,1,5,3,1,1,2,2,2,,2,3,1,4,2,3,2,1,0.8852693912212927
2,2024-09-04T20:19:44Z,2024-09-04T20:39:50Z,3,1,9,2,2,,3,2,3,,,,,,,2,1,4,3,3,3,4,3,,,2,4,1,1,1,3,2,1,1,2,2,2,2,2,2,1,1,1,1,2,5,3,2,1,2,1,2,1,1,3,1,,,,,,,,,,1,1,2,1,1,1,2,1,1,2,3,2,1,3,,,,,1,2,2,2,5,5,4,4,4,4,4,5,4,4,4,4,4,4,1,2,5,5,5,4,4,2,1,1,,2,2,2,2,2,2,2,2,4,5,5,1,2,5,3,2,5,2,1,1,1,1,3,5,2,2,1,1,6,2,1,2,2,1,1,1,1,1,,1,1,1,9,1,1,1,2,0.28614483273165703
4,2024-09-07T11:53:25Z,2024-09-07T12:13:00Z,1,1,9,2,1,,3,2,3,,,,,,,3,3,3,3,3,3,3,3,2,2,,,1,3,3,3,2,4,4,2,2,2,2,2,2,1,2,1,1,2,4,2,1,1,1,2,2,3,3,4,2,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,,,,,2,4,2,4,2,4,2,3,1,2,4,1,2,2,5,4,2,2,2,2,4,4,1,1,,3,3,3,3,3,3,3,3,5,3,3,3,2,3,1,1,3,1,2,2,2,1,4,9,2,2,1,1,6,1,1,1,3,1,1,2,2,3,1,1,1,3,9,2,2,2,2,0.5944511886609951
5,2024-09-04T19:31:53Z,2024-09-04T19:44:49Z,1,1,9,2,2,,5,3,1,1,,2,1,3,2,3,3,2,3,3,2,3,2,,,1,1,6,3,1,2,1,5,4,1,2,1,1,1,,1,,,,5,1,-4,,,,,,,,,,6,1,1,1,6,6,2,5,5,3,2,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,,,,,1,1,1,2,1,1,1,1,2,2,1,1,2,1,6,6,6,6,6,6,6,6,1,1,,3,3,3,3,3,3,3,3,5,5,2,2,4,4,2,2,2,3,1,2,2,1,2,3,2,3,2,3,2,1,1,1,3,1,3,2,2,2,,2,4,1,3,4,1,2,2,0.4203986335887388
8,2024-09-04T19:50:45Z,2024-09-04T20:08:50Z,3,1,9,2,2,,3,2,1,1,,5,2,5,2,2,2,3,5,5,3,4,5,,,2,1,4,2,6,2,2,4,3,2,2,2,2,2,2,1,1,1,2,4,3,-1,,,,,,,,,,3,6,1,1,99,3,4,3,3,2,2,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,5,1,1,1,1,1,1,5,1,4,1,5,5,5,5,5,5,5,5,1,2,,3,1,1,3,2,1,1,1,2,2,1,4,1,2,4,5,5,2,2,2,2,1,3,5,2,2,2,2,4,2,1,2,2,1,1,1,1,3,2,2,4,2,6,4,1,2,2,0.3202286695403727
10,2024-09-05T11:33:27Z,2024-09-05T11:48:55Z,3,1,9,2,2,,4,2,2,,2,2,2,3,3,2,2,3,2,5,5,3,3,,,3,3,1,4,3,1,1,4,2,1,2,1,2,1,,1,,2,,2,3,1,1,1,1,2,1,2,3,4,3,,,,,,,,,,2,2,1,1,1,1,1,1,3,3,3,3,3,3,,,,,3,2,2,3,2,4,5,5,2,4,3,2,1,1,4,2,1,3,3,3,1,1,1,1,1,1,1,1,,2,3,3,2,3,2,3,2,3,4,5,2,1,5,1,2,4,4,1,1,1,1,4,9,2,2,1,1,5,1,4,1,3,4,1,2,2,4,2,2,4,1,9,4,1,2,2,0.510333927178487
11,2024-09-04T21:47:50Z,2024-09-04T22:13:04Z,3,1,10,2,2,,3,2,1,1,,3,3,4,4,4,4,2,2,3,4,3,2,,,2,3,4,6,6,2,3,5,3,2,2,2,2,1,2,1,2,2,,5,2,-3,,,,,,,,,,2,3,1,2,2,6,1,3,3,3,3,1,1,3,2,2,3,3,3,3,3,1,3,,,,,3,1,1,1,3,3,3,3,2,4,2,3,1,2,3,4,1,2,3,2,2,2,2,2,6,3,3,,,2,3,1,2,1,2,1,3,4,4,5,4,3,4,4,5,4,4,1,2,1,1,3,5,1,3,2,1,6,1,3,1,3,4,1,1,1,1,,1,1,1,5,2,1,1,2,0.3853536937043155
16,2024-09-07T04:56:58Z,2024-09-07T05:05:07Z,1,1,9,2,1,,4,2,2,,3,6,2,3,3,2,2,3,2,2,1,1,3,2,2,,,3,1,3,2,3,4,3,1,2,2,2,1,,1,1,1,,2,3,1,3,3,2,2,6,3,6,4,3,,,,,,,,,,3,3,2,2,1,2,3,3,1,3,3,3,3,3,2,2,2,2,,,,,5,5,4,3,3,5,2,1,1,1,2,3,1,2,5,1,2,2,2,2,2,1,2,,2,2,1,2,2,1,2,1,2,3,5,5,3,3,5,2,2,4,3,2,1,1,1,4,9,2,3,1,3,1,2,1,1,1,1,3,9,3,2,,2,3,1,99,3,1,2,99,0.7257646252161944
17,2024-09-11T10:06:08Z,2024-09-11T10:23:48Z,1,1,9,2,1,,3,2,2,,1,3,2,4,2,2,3,2,3,4,3,3,4,3,2,,,1,2,2,3,3,2,3,2,2,2,2,2,1,1,2,2,2,5,2,-3,,,,,,,,,,4,4,1,4,4,4,4,4,3,2,2,1,1,2,1,1,1,1,2,3,3,1,1,2,2,2,3,,,,,3,4,4,3,3,3,4,3,2,4,3,4,3,4,3,1,2,2,2,2,2,1,1,2,,2,1,2,2,2,3,3,2,4,4,3,2,3,2,2,4,4,3,2,1,2,1,2,3,1,2,2,2,4,1,1,1,3,1,1,2,2,2,,2,3,1,5,3,2,2,1,0.4801007339825172
22,2024-09-05T15:33:46Z,2024-09-05T16:01:47Z,3,1,9,2,2,,3,3,1,1,,3,4,4,6,2,3,5,5,3,5,3,5,,,3,4,6,6,6,2,4,5,5,2,2,2,2,2,1,1,2,2,1,5,2,-3,,,,,,,,,,2,1,1,3,4,5,2,5,4,1,1,1,99,3,99,3,3,3,3,3,3,1,3,,,,,3,3,1,3,2,4,3,3,2,3,2,3,1,2,4,3,3,2,5,4,2,2,3,2,3,2,2,,2,2,2,1,3,3,3,3,3,5,3,4,2,5,4,1,4,5,2,2,2,2,1,3,5,1,4,2,1,6,1,4,4,3,2,5,1,1,1,,1,2,1,2,3,3,1,2,0.30524197812926473
